Recency,Frequency,Monetary,Segments
171,11,206.36,Low Value Customer
9,2,162.95,Medium Value Customer
80,1,14.389999999999995,Medium Value Customer
49,2,373.44,Medium Value Customer
17,1,49.46000000000001,Medium Value Customer
17,2,54.60000000000001,Medium Value Customer
50,1,38.78000000000001,Medium Value Customer
209,1,52.78,Low Value Customer
22,3,210.95,Medium Value Customer
30,1,531.17,Medium Value Customer
17,3,199.98,Medium Value Customer
67,6,486.11,Medium Value Customer
34,3,118.1,Medium Value Customer
104,3,78.89999999999999,Medium Value Customer
270,1,79.05,Low Value Customer
55,3,171.16,Medium Value Customer
266,3,104.36,Low Value Customer
51,3,301.8500000000001,Medium Value Customer
266,2,91.85,Low Value Customer
63,2,109.47,Medium Value Customer
31,2,24.4,Medium Value Customer
23,2,149.5,Medium Value Customer
204,1,251.11999999999995,Low Value Customer
64,2,120.9,Medium Value Customer
107,4,484.24,Medium Value Customer
21,1,239.25,Medium Value Customer
8,1,21.45,Medium Value Customer
57,1,7.91,Medium Value Customer
87,2,134.64,Medium Value Customer
44,3,130.06,Medium Value Customer
106,4,581.9100000000001,Medium Value Customer
233,1,35.25,Low Value Customer
24,2,119.45,Medium Value Customer
13,4,235.39,Medium Value Customer
316,1,149.46,Low Value Customer
27,3,99.15,Medium Value Customer
56,1,32.05,Medium Value Customer
34,5,195.15,Medium Value Customer
163,1,3.75,Low Value Customer
41,3,154.53,Medium Value Customer
27,3,135.18,Medium Value Customer
62,4,310.06999999999994,Medium Value Customer
144,1,35.870000000000005,Low Value Customer
51,1,74.70000000000002,Medium Value Customer
44,3,106.57000000000002,Medium Value Customer
44,1,90.7,Medium Value Customer
105,1,3.54,Medium Value Customer
17,6,477.69,Medium Value Customer
298,1,16.88,Low Value Customer
52,11,811.73,Medium Value Customer
55,3,220.04,Medium Value Customer
27,2,70.09,Medium Value Customer
57,2,33.76,Medium Value Customer
36,9,303.52,Medium Value Customer
29,2,107.89,Medium Value Customer
64,2,117.55999999999996,Medium Value Customer
90,1,126.47,Medium Value Customer
304,1,137.81999999999996,Low Value Customer
13,1,31.25,Medium Value Customer
7,5,204.2,Medium Value Customer
15,13,654.88,Medium Value Customer
8,5,569.8,Medium Value Customer
23,1,68.12,Medium Value Customer
38,3,204.51,Medium Value Customer
37,20,774.0999999999999,Medium Value Customer
324,2,263.16,Low Value Customer
104,2,94.34,Medium Value Customer
8,1,22.71,Medium Value Customer
374,1,83.28,Low Value Customer
62,1,55.34,Medium Value Customer
80,1,4.25,Medium Value Customer
41,3,69.49000000000001,Medium Value Customer
105,3,325.39,Medium Value Customer
37,3,24.85,Medium Value Customer
87,4,558.06,Medium Value Customer
77,1,99.5,Medium Value Customer
69,2,93.65,Medium Value Customer
247,1,67.42000000000002,Low Value Customer
98,1,78.86,Medium Value Customer
65,1,14.56,Medium Value Customer
168,3,228.74,Low Value Customer
164,1,215.2,Low Value Customer
331,1,74.4,Low Value Customer
16,43,1766.71,Medium Value Customer
11,13,1105.23,Medium Value Customer
20,11,616.61,Medium Value Customer
51,1,82.84,Medium Value Customer
39,7,965.92,Medium Value Customer
41,3,1041.27,Medium Value Customer
41,3,230.13,Medium Value Customer
7,5,421.24,Medium Value Customer
218,19,137.99999999999997,Low Value Customer
20,11,126.05,Medium Value Customer
125,5,319.48,Medium Value Customer
171,1,81.95999999999998,Low Value Customer
73,1,143.75,Medium Value Customer
372,1,2.55,Low Value Customer
20,10,429.56,Medium Value Customer
45,1,52.0,Medium Value Customer
7,3,96.29,Medium Value Customer
282,1,57.0,Low Value Customer
262,2,19.27,Low Value Customer
42,2,35.17,Medium Value Customer
202,1,44.9,Low Value Customer
77,7,219.81,Medium Value Customer
59,2,7.5,Medium Value Customer
50,1,141.4,Medium Value Customer
226,1,71.1,Low Value Customer
101,5,266.11999999999995,Medium Value Customer
70,1,614.9300000000001,Medium Value Customer
283,1,59.3,Low Value Customer
72,2,57.95,Medium Value Customer
118,1,54.03000000000001,Medium Value Customer
16,12,451.88,Medium Value Customer
30,7,163.26,Medium Value Customer
140,3,162.36,Medium Value Customer
136,2,30.200000000000003,Medium Value Customer
170,1,63.86,Low Value Customer
57,5,168.51,Medium Value Customer
328,1,242.85,Low Value Customer
269,2,201.82,Low Value Customer
50,1,85.68,Medium Value Customer
20,1,53.67,Medium Value Customer
92,3,735.4800000000001,Medium Value Customer
20,15,746.0,Medium Value Customer
126,2,96.14,Medium Value Customer
90,1,83.0,Medium Value Customer
142,1,12.07,Low Value Customer
217,5,78.49000000000001,Low Value Customer
27,2,152.51,Medium Value Customer
90,1,71.43,Medium Value Customer
74,1,15.87,Medium Value Customer
27,2,103.65000000000002,Medium Value Customer
50,1,22.98,Medium Value Customer
9,7,592.1800000000001,Medium Value Customer
286,1,13.17,Low Value Customer
23,4,204.69,Medium Value Customer
99,2,99.67,Medium Value Customer
34,3,114.78,Medium Value Customer
23,5,278.34,Medium Value Customer
27,2,118.81000000000002,Medium Value Customer
218,1,70.61,Low Value Customer
64,2,282.02000000000004,Medium Value Customer
15,13,442.12,Medium Value Customer
16,3,385.47,Medium Value Customer
41,2,114.51999999999998,Medium Value Customer
63,4,425.93,Medium Value Customer
32,2,127.6,Medium Value Customer
161,2,66.82000000000001,Low Value Customer
20,5,181.17999999999995,Medium Value Customer
146,1,42.62,Low Value Customer
105,3,167.01999999999998,Medium Value Customer
23,6,75.34,Medium Value Customer
13,12,239.55999999999997,Medium Value Customer
46,1,15.0,Medium Value Customer
18,3,116.03,Medium Value Customer
46,1,24.349999999999994,Medium Value Customer
16,6,371.45,Medium Value Customer
30,5,424.54,Medium Value Customer
55,4,398.53,Medium Value Customer
30,1,62.95000000000001,Medium Value Customer
202,1,25.48,Low Value Customer
7,16,674.41,Medium Value Customer
58,6,357.99,Medium Value Customer
151,2,165.09000000000003,Low Value Customer
27,2,82.95,Medium Value Customer
98,5,432.42,Medium Value Customer
162,2,41.84,Low Value Customer
24,3,524.51,Medium Value Customer
190,1,25.55,Low Value Customer
34,2,182.05,Medium Value Customer
20,4,509.44,Medium Value Customer
281,1,22.0,Low Value Customer
76,2,97.99,Medium Value Customer
27,3,29.850000000000005,Medium Value Customer
72,3,255.42,Medium Value Customer
51,4,156.79999999999998,Medium Value Customer
9,24,1272.18,Medium Value Customer
79,3,137.51999999999998,Medium Value Customer
24,5,129.58,Medium Value Customer
20,3,41.00000000000001,Medium Value Customer
76,1,15.0,Medium Value Customer
168,1,125.18,Low Value Customer
65,1,69.85000000000002,Medium Value Customer
67,3,345.7700000000001,Medium Value Customer
78,1,9.65,Medium Value Customer
15,10,434.44999999999993,Medium Value Customer
266,2,21.85,Low Value Customer
156,2,15.0,Low Value Customer
59,2,27.15,Medium Value Customer
36,1,85.35,Medium Value Customer
20,5,1094.7800000000002,Medium Value Customer
27,2,91.21,Medium Value Customer
248,1,116.941,Low Value Customer
237,1,61.70000000000001,Low Value Customer
43,1,78.35,Medium Value Customer
195,2,381.87,Low Value Customer
50,4,88.4,Medium Value Customer
197,2,49.150000000000006,Low Value Customer
17,6,230.31,Medium Value Customer
9,23,1906.75,Medium Value Customer
7,22,1386.9,Medium Value Customer
7,8,432.5,Medium Value Customer
13,1,4.8100000000000005,Medium Value Customer
122,1,284.92999999999995,Medium Value Customer
62,1,19.55,Medium Value Customer
279,1,40.60000000000001,Low Value Customer
38,3,134.39999999999998,Medium Value Customer
63,1,78.92,Medium Value Customer
170,3,124.56000000000002,Low Value Customer
76,2,81.39,Medium Value Customer
232,1,63.6,Low Value Customer
59,1,92.61,Medium Value Customer
171,4,202.19,Low Value Customer
275,3,106.67,Low Value Customer
25,5,540.63,Medium Value Customer
10,9,412.49,Medium Value Customer
8,17,740.03,Medium Value Customer
253,2,118.76,Low Value Customer
7,10,422.64,Medium Value Customer
30,7,1040.73,Medium Value Customer
232,1,45.39,Low Value Customer
11,5,357.30999999999995,Medium Value Customer
27,2,264.23,Medium Value Customer
25,3,165.65999999999997,Medium Value Customer
13,3,353.61999999999995,Medium Value Customer
29,4,56.53,Medium Value Customer
84,3,165.07999999999996,Medium Value Customer
25,1,41.52,Medium Value Customer
163,1,194.1,Low Value Customer
84,4,391.74000000000007,Medium Value Customer
31,3,462.3599999999999,Medium Value Customer
16,2,50.150000000000006,Medium Value Customer
14,1,25.45,Medium Value Customer
27,2,221.7,Medium Value Customer
175,1,25.53000000000001,Low Value Customer
267,1,114.06,Low Value Customer
101,4,340.81000000000006,Medium Value Customer
128,2,66.92,Medium Value Customer
182,1,59.1,Low Value Customer
11,16,593.1600000000001,Medium Value Customer
7,131,5771.37,High Value Customer
41,4,684.3900000000001,Medium Value Customer
86,1,113.71000000000002,Medium Value Customer
27,9,114.26,Medium Value Customer
101,5,538.78,Medium Value Customer
28,5,492.16,Medium Value Customer
97,1,62.56,Medium Value Customer
106,1,93.65,Medium Value Customer
11,1,28.99,Medium Value Customer
114,6,178.68,Medium Value Customer
8,3,324.03,Medium Value Customer
17,1,90.08,Medium Value Customer
92,1,30.08,Medium Value Customer
98,1,35.75,Medium Value Customer
127,1,56.85000000000001,Medium Value Customer
206,1,10.66,Low Value Customer
177,1,23.8,Low Value Customer
30,2,51.85000000000001,Medium Value Customer
309,1,2.12,Low Value Customer
99,1,65.00000000000001,Medium Value Customer
38,3,166.96999999999997,Medium Value Customer
13,7,329.97,Medium Value Customer
240,1,60.74,Low Value Customer
