Recency,Frequency,Monetary,recency_score,frequeny_score,monetary_score,RFM_SCORE,Segments
171,11,206.36,2,5,4,25,Can't Loose
9,2,162.95,5,2,3,52,Potential Loyalist
80,1,14.389999999999997,2,1,1,21,Hibernating
49,2,373.43999999999994,3,2,5,32,About to Sleep
17,1,49.46000000000001,5,1,2,51,New Customer
17,2,54.60000000000001,5,2,2,52,Potential Loyalist
50,1,38.78000000000001,3,1,1,31,About to Sleep
209,1,52.78,1,1,2,11,Hibernating
22,3,210.94999999999996,4,3,4,43,Potential Loyalist
30,1,531.17,4,1,5,41,Promising
17,3,199.97999999999996,5,3,4,53,Potential Loyalist
67,6,486.11,3,4,5,34,Loyal Customer
34,3,118.10000000000001,4,3,3,43,Potential Loyalist
104,3,78.89999999999999,2,3,2,23,At Risk
270,1,79.05,1,1,2,11,Hibernating
55,3,171.16,3,3,3,33,Need Attention
266,3,104.36,1,3,3,13,At Risk
51,3,301.8500000000001,3,3,4,33,Need Attention
266,2,91.85000000000001,1,2,3,12,Hibernating
63,2,109.47,3,2,3,32,About to Sleep
31,2,24.4,4,2,1,42,Potential Loyalist
23,2,149.5,4,2,3,42,Potential Loyalist
204,1,251.11999999999995,1,1,4,11,Hibernating
64,2,120.9,3,2,3,32,About to Sleep
107,4,484.23999999999995,2,4,5,24,At Risk
21,1,239.24999999999997,5,1,4,51,New Customer
8,1,21.449999999999996,5,1,1,51,New Customer
57,1,7.91,3,1,1,31,About to Sleep
87,2,134.64,2,2,3,22,Hibernating
44,3,130.06,3,3,3,33,Need Attention
106,4,581.9100000000001,2,4,5,24,At Risk
233,1,35.25,1,1,1,11,Hibernating
24,2,119.44999999999999,4,2,3,42,Potential Loyalist
13,4,235.39000000000001,5,4,4,54,VIP
316,1,149.46,1,1,3,11,Hibernating
27,3,99.15,4,3,3,43,Potential Loyalist
56,1,32.05,3,1,1,31,About to Sleep
34,5,195.14999999999998,4,4,4,44,Loyal Customer
163,1,3.75,2,1,1,21,Hibernating
41,3,154.53,4,3,3,43,Potential Loyalist
27,3,135.18,4,3,3,43,Potential Loyalist
62,4,310.06999999999994,3,4,4,34,Loyal Customer
144,1,35.870000000000005,2,1,1,21,Hibernating
51,1,74.70000000000002,3,1,2,31,About to Sleep
44,3,106.57000000000002,3,3,3,33,Need Attention
44,1,90.7,3,1,2,31,About to Sleep
105,1,3.54,2,1,1,21,Hibernating
17,6,477.69,5,4,5,54,VIP
298,1,16.88,1,1,1,11,Hibernating
52,11,811.73,3,5,5,35,Loyal Customer
55,3,220.04,3,3,4,33,Need Attention
27,2,70.09,4,2,2,42,Potential Loyalist
57,2,33.76,3,2,1,32,About to Sleep
36,9,303.52,4,5,4,45,Loyal Customer
29,2,107.88999999999999,4,2,3,42,Potential Loyalist
64,2,117.55999999999997,3,2,3,32,About to Sleep
90,1,126.47000000000001,2,1,3,21,Hibernating
304,1,137.81999999999996,1,1,3,11,Hibernating
13,1,31.25,5,1,1,51,New Customer
7,5,204.2,5,4,4,54,VIP
15,13,654.88,5,5,5,55,VIP
8,5,569.8,5,4,5,54,VIP
23,1,68.12,4,1,2,41,Promising
38,3,204.51,4,3,4,43,Potential Loyalist
37,20,774.0999999999999,4,5,5,45,Loyal Customer
324,2,263.15999999999997,1,2,4,12,Hibernating
104,2,94.33999999999999,2,2,3,22,Hibernating
8,1,22.71,5,1,1,51,New Customer
374,1,83.28,1,1,2,11,Hibernating
62,1,55.34,3,1,2,31,About to Sleep
80,1,4.25,2,1,1,21,Hibernating
41,3,69.49000000000001,4,3,2,43,Potential Loyalist
105,3,325.39,2,3,4,23,At Risk
37,3,24.849999999999998,4,3,1,43,Potential Loyalist
87,4,558.06,2,4,5,24,At Risk
77,1,99.5,2,1,3,21,Hibernating
69,2,93.65,3,2,3,32,About to Sleep
247,1,67.42000000000002,1,1,2,11,Hibernating
98,1,78.86,2,1,2,21,Hibernating
65,1,14.56,3,1,1,31,About to Sleep
168,3,228.73999999999998,2,3,4,23,At Risk
164,1,215.2,2,1,4,21,Hibernating
331,1,74.4,1,1,2,11,Hibernating
16,43,1766.71,5,5,5,55,VIP
11,13,1105.23,5,5,5,55,VIP
20,11,616.61,5,5,5,55,VIP
51,1,82.84,3,1,2,31,About to Sleep
39,7,965.9200000000001,4,5,5,45,Loyal Customer
41,3,1041.27,4,3,5,43,Potential Loyalist
41,3,230.13,4,3,4,43,Potential Loyalist
7,5,421.23999999999995,5,4,5,54,VIP
218,19,137.99999999999997,1,5,3,15,Can't Loose
20,11,126.05000000000001,5,5,3,55,VIP
125,5,319.47999999999996,2,4,4,24,At Risk
171,1,81.95999999999998,2,1,2,21,Hibernating
73,1,143.75,3,1,3,31,About to Sleep
372,1,2.55,1,1,1,11,Hibernating
20,10,429.55999999999995,5,5,5,55,VIP
45,1,52.0,3,1,2,31,About to Sleep
7,3,96.29,5,3,3,53,Potential Loyalist
282,1,57.0,1,1,2,11,Hibernating
262,2,19.27,1,2,1,12,Hibernating
42,2,35.17,4,2,1,42,Potential Loyalist
202,1,44.9,1,1,2,11,Hibernating
77,7,219.80999999999997,2,5,4,25,Can't Loose
59,2,7.5,3,2,1,32,About to Sleep
50,1,141.4,3,1,3,31,About to Sleep
226,1,71.1,1,1,2,11,Hibernating
101,5,266.11999999999995,2,4,4,24,At Risk
70,1,614.9300000000001,3,1,5,31,About to Sleep
283,1,59.3,1,1,2,11,Hibernating
72,2,57.949999999999996,3,2,2,32,About to Sleep
118,1,54.03000000000001,2,1,2,21,Hibernating
16,12,451.88,5,5,5,55,VIP
30,7,163.26,4,5,3,45,Loyal Customer
140,3,162.35999999999999,2,3,3,23,At Risk
136,2,30.200000000000003,2,2,1,22,Hibernating
170,1,63.86,2,1,2,21,Hibernating
57,5,168.51,3,4,3,34,Loyal Customer
328,1,242.85000000000002,1,1,4,11,Hibernating
269,2,201.81999999999996,1,2,4,12,Hibernating
50,1,85.68,3,1,2,31,About to Sleep
20,1,53.67,5,1,2,51,New Customer
92,3,735.4800000000001,2,3,5,23,At Risk
20,15,746.0,5,5,5,55,VIP
126,2,96.14,2,2,3,22,Hibernating
90,1,83.0,2,1,2,21,Hibernating
142,1,12.069999999999999,2,1,1,21,Hibernating
217,5,78.49000000000001,1,4,2,14,At Risk
27,2,152.51,4,2,3,42,Potential Loyalist
90,1,71.43,2,1,2,21,Hibernating
74,1,15.87,3,1,1,31,About to Sleep
27,2,103.65000000000002,4,2,3,42,Potential Loyalist
50,1,22.979999999999997,3,1,1,31,About to Sleep
9,7,592.1800000000001,5,5,5,55,VIP
286,1,13.17,1,1,1,11,Hibernating
23,4,204.69,4,4,4,44,Loyal Customer
99,2,99.67,2,2,3,22,Hibernating
34,3,114.78,4,3,3,43,Potential Loyalist
23,5,278.34,4,4,4,44,Loyal Customer
27,2,118.81000000000002,4,2,3,42,Potential Loyalist
218,1,70.61,1,1,2,11,Hibernating
64,2,282.02000000000004,3,2,4,32,About to Sleep
15,13,442.12,5,5,5,55,VIP
16,3,385.47,5,3,5,53,Potential Loyalist
41,2,114.51999999999998,4,2,3,42,Potential Loyalist
